timestamp_ms,chunk_bytes,total_data_bytes,file_bytes,sequence,chunk_index,chunk_count,send_time_ms
25.609,262103,117946350,121000000,0,449,462,25
25.640,262103,118208453,121000000,0,450,462,25
25.675,262103,118470556,121000000,0,451,462,26
25.706,262103,118732659,121000000,0,452,462,26
25.740,262103,118994762,121000000,0,453,462,26
25.771,262103,119256865,121000000,0,454,462,26
25.806,262103,119518968,121000000,0,455,462,26
25.837,262103,119781071,121000000,0,456,462,26
25.871,262103,120043174,121000000,0,457,462,26
25.903,262103,120305277,121000000,0,458,462,26
25.935,262103,120567380,121000000,0,459,462,26
25.969,262103,120829483,121000000,0,460,462,26
26.005,170517,121000000,121000000,0,461,462,26
